ID_Alumno,Nombre,Apellidos,Sexo,Nota_Final,Faltas_Asistencia
1,Rafaela,Plaza Rivero,M,0.29,5
2,Apolinar,Jove Vidal,M,1.68,1
3,Amalia,Quirós Mateos,F,5.03,29
4,Albina,Palma Gil,M,7.59,20
5,Anna,Chaparro Luján,F,5.55,15
6,Enrique,Bustamante Iglesia,F,7.22,16
7,Virginia,Collado Menéndez,F,0.2,16
8,Conrado,Benavent Murillo,F,7.66,9
9,Agustina,Cabrero Otero,M,3.76,10
10,Toño,Molina Fuente,F,7.16,4
11,Carmina,Tapia Salas,M,5.48,24
12,Rosenda,Vázquez Juliá,M,9.5,13
13,Bernabé,Alcalá Bueno,M,1.22,12
14,Loida,Pujadas Abella,M,4.45,18
15,Emma,Uriarte Mínguez,F,4.76,29
16,Jose Francisco,Morell Barros,F,1.45,15
17,Graciano,Girona Gómez,F,2.11,6
18,Nieves,Cisneros Samper,F,4.86,1
19,Ciriaco,Bernat Montero,M,6.0,26
20,Sara,Verdejo Tovar,M,3.67,0
21,César,Mata Manuel,M,2.65,25
22,Lara,Casanovas Méndez,M,0.94,20
23,Ofelia,Frutos Maestre,F,1.26,8
24,Victor,Bravo Plaza,M,8.41,4
25,Maximiliano,Herranz Manrique,M,0.36,4
26,Gerónimo,Fajardo Estévez,M,0.76,7
27,Anacleto,Juan Tamayo,M,4.44,4
28,Bruno,Borrás Castillo,F,0.56,15
29,Sarita,Conde Arias,M,7.42,22
30,Purificación,Bernat Posada,F,0.57,19
31,Pilar,Zamorano Llorens,F,4.27,23
32,Azahara,Gutiérrez Garrido,F,5.75,15
33,Teresa,Rius Llopis,M,0.04,17
34,Virgilio,Ugarte Palau,F,7.88,5
35,Celestino,Morata Carlos,F,7.24,7
36,Amanda,Naranjo Falcón,M,4.38,0
37,Jose Carlos,Alegre Linares,F,7.61,10
38,Demetrio,Giménez Peral,F,9.36,16
39,Narcisa,Donaire Méndez,M,7.88,14
40,Teodosio,Barrios Cabrero,F,8.58,20
41,Micaela,Coll Gilabert,F,8.88,19
42,Artemio,Benavent Amor,M,5.07,12
43,Edelmiro,Fabregat Carretero,F,7.29,9
44,Rosendo,Bravo Pellicer,M,7.08,20
45,Perla,Carmona Arce,M,9.92,14
46,Eloísa,Almeida Ferreras,M,5.6,11
47,Gil,Casals Tello,M,7.4,22
48,Humberto,Barriga Alsina,M,1.86,1
49,Candelas,Roig Cadenas,M,4.98,28
50,Petrona,Juan Becerra,F,8.79,22
51,Ismael,Bello Mascaró,M,2.48,15
52,Pancho,Rubio Escribano,M,7.72,19
53,Benjamín,Vara Solera,F,7.63,20
54,Aníbal,Cabrero Posada,F,4.4,18
55,Heraclio,Juan Palmer,M,2.71,9
56,Verónica,Sosa Dominguez,M,4.38,0
57,José,Frutos Barco,M,2.53,20
58,Modesta,Cuadrado Cáceres,M,6.86,29
59,Octavio,Ávila Iglesia,M,2.25,28
60,Desiderio,Salamanca Díez,F,7.34,26
61,Albert,Soto Redondo,F,9.66,22
62,Trinidad,Verdugo Merino,F,7.32,2
63,Florencia,Palau Pont,M,8.57,20
64,Pilar,Iglesia Corral,M,5.99,13
65,Chelo,Alberola Seco,F,6.84,23
66,Manuela,Bermúdez Narváez,M,0.28,12
67,Mamen,Arroyo Lucas,F,9.74,24
68,Elpidio,Heredia Tirado,F,2.07,7
69,Pastor,Maestre Palomar,F,0.81,27
70,Dominga,Cazorla Menéndez,M,0.92,15
71,Román,Ribas Berrocal,F,8.75,5
72,Abel,Fernandez Múñiz,M,2.18,13
73,Feliciano,Heras Gisbert,M,4.09,30
74,Febe,Samper Pinedo,F,0.17,18
75,Leocadia,Ribas Angulo,F,8.32,6
